state,road,sample_ID,distance_cm,avg_outlier,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,sus_avg,sus_stdv,traffic_vol,traffic_class
Georgia,Dalton Bypass Corporate Drive,D300,300,outlier,0.000328,0.000369,0.000364,,,,,,,,,0.000353667,2.23681E-05,16600.00,high
Georgia,Dalton Bypass Corporate Drive,D400,400,average,0.000515,0.000468,0.000447,0.000329,0.000283,0.000303,,,,,,0.000390833,9.76656E-05,16600.00,high
Georgia,Dalton Bypass Corporate Drive,D500,500,average,0.000306,0.00037,0.000324,0.000399,0.000403,0.000399,,,,,,0.000366833,4.22441E-05,16600.00,high
Georgia,Dalton Bypass Corporate Drive,D550,550,average,0.000195,0.000163,0.000175,0.000224,0.000244,0.000277,,,,,,0.000213,4.34649E-05,16600.00,high
Georgia,Dalton Bypass Corporate Drive,D600,600,outlier,0.00271,0.00227,0.000969,0.00166,,,,,,,,0.00190225,0.000756602,16600.00,high
Georgia,Dalton Bypass Corporate Drive,D600,600,average,0.000384,0.000315,0.000251,0.000288,0.00026,0.000226,0.000236,,,,,0.00028,5.50727E-05,16600.00,high
Georgia,Dalton Bypass Caunasauga Drive,DC10,10,average,0.00148,0.00159,0.00161,0.0012,0.00123,0.00122,,,,,,0.001388333,0.000193434,12300.00,high
Georgia,Dalton Bypass Caunasauga Drive,DC50,50,average,0.000954,0.000952,0.000903,0.000854,0.000802,0.000752,,,,,,0.0008695,8.20628E-05,12300.00,high
Georgia,Dalton Bypass Caunasauga Drive,DC100,100,average,0.000779,0.000612,0.000585,0.000861,0.000749,0.000725,,,,,,0.0007185,0.000104023,12300.00,high
Georgia,Dalton Bypass Caunasauga Drive,DC150,150,average,0.000831,0.000765,0.000751,0.00116,0.00105,0.00113,,,,,,0.000947833,0.000186793,12300.00,high
Georgia,Dalton Bypass Caunasauga Drive,DC200,200,average,0.000678,0.000556,0.000558,0.000534,0.000524,0.00045,,,,,,0.00055,7.40486E-05,12300.00,high
Georgia,Dalton Bypass Caunasauga Drive,DC200,200,outlier,0.00155,0.00135,0.00129,,,,,,,,,0.001396667,0.000136137,12300.00,high
Georgia,Dalton Bypass Caunasauga Drive,DC300,300,average,0.000846,0.000812,0.000736,0.000683,0.000685,0.000771,,,,,,0.0007555,6.66776E-05,12300.00,high
Georgia,Dalton Bypass Caunasauga Drive,DC400,400,average,0.000689,0.000713,0.000681,0.000929,0.000863,0.00104,0.000644,0.000664,0.00068,,,0.000767,0.000141285,12300.00,high
Georgia,Dalton Bypass Caunasauga Drive,DC500,500,average,0.000332,0.000318,0.000335,0.00052,0.000456,0.000443,0.000807,0.000787,0.000696,,,0.000521556,0.00019526,12300.00,high
Georgia,Dalton Bypass Caunasauga Drive,DC600,600,average,0.000534,0.000573,0.000591,0.000484,0.00046,0.000455,,,,,,0.000516167,5.84446E-05,12300.00,high
Georgia,College Drive,CD10,10,average,0.000524,0.000465,0.000509,0.00034,0.000328,0.00032,,,,,,0.000414333,9.5324E-05,5210.00,medium
Georgia,College Drive,CD50,50,average,0.000286,0.000288,0.000283,0.000316,0.00031,0.000295,,,,,,0.000296333,1.36333E-05,5210.00,medium
Georgia,College Drive,CD100,100,average,0.000337,0.00036,0.000336,0.000524,0.000469,0.000428,,,,,,0.000409,7.75887E-05,5210.00,medium
Georgia,College Drive,CD150,150,average,0.000253,0.000284,0.000288,0.000294,0.000284,0.000285,,,,,,0.000281333,1.43898E-05,5210.00,medium
Georgia,College Drive,CD200,200,average,0.000242,0.000236,0.000237,0.000265,0.000251,0.000241,,,,,,0.000245333,1.1003E-05,5210.00,medium
Georgia,College Drive,CD300,300,average,0.000474,0.000489,0.00049,0.000349,0.000336,0.000331,,,,,,0.0004115,8.02016E-05,5210.00,medium
Georgia,College Drive,CD400,400,average,0.000279,0.000269,0.000281,0.000488,0.000452,0.000435,,,,,,0.000367333,0.000101226,5210.00,medium
Georgia,College Drive,CD500,500,average,0.000303,0.000295,0.000308,0.000362,0.000369,0.000359,0.000804,0.000754,0.000693,,,0.000471889,0.000212383,5210.00,medium
Georgia,College Drive,CD600,600,average,0.000272,0.000271,0.000263,0.000391,0.000377,0.000363,,,,,,0.000322833,6.00747E-05,5210.00,medium
Minnesota,Inver Grove Trail,R10,10,average,0.000785,0.0009,0.001,0.00112,0.000573,0.000612,0.000603,0.000727,,,,0.00079,0.00020101,390.00,low
Minnesota,Inver Grove Trail,R50,50,average,0.000807,0.000963,0.000929,,,,,,,,,0.000899667,8.20325E-05,390.00,low
Minnesota,Inver Grove Trail,R150,150,average,0.000983,0.000934,0.000891,0.000603,0.000448,0.000463,,,,,,0.000720333,0.000244101,390.00,low
Minnesota,Inver Grove Trail,R280,280,average,0.00106,0.000741,0.000804,0.00104,0.00164,0.00173,0.00176,0.000554,0.000484,0.0005,0.000512667,0.000984152,0.000508006,390.00,low
Minnesota,Inver Grove Trail,R330,330,average,0.00103,0.000991,0.00105,,,,,,,,,0.001023667,3.00056E-05,390.00,low
Minnesota,Inver Grove Trail,R410,410,average,0.00097,0.00109,0.000917,0.00052,0.000437,0.000372,0.000443,,,,,0.000678429,0.000301118,390.00,low
Minnesota,Inver Grove Trail,R0520,520,average,0.00131,0.00162,0.00128,0.00108,0.00111,,,,,,,0.00128,0.000215291,390.00,low
Minnesota,Inver Grove Trail,R760,760,average,0.00124,0.00123,0.000813,,,,,,,,,0.001094333,0.000243693,390.00,low
Minnesota,Inver Grove Trail,R900,900,average,0.00115,0.000865,0.00107,0.00158,0.00161,0.00111,0.001433333,,,,,0.001259762,0.000283334,390.00,low
